URL,10.,11.,12.,Appendix response to Item 10,Appendix response to Item 11,Appendix response to Item 12
https://efile.fara.gov/docs/7488-Short-Form-20241114-2.pdf,Government of the Republic of Vanuatu,The individual will be providing management and oversight of the general operations.,No,None,None,None
https://efile.fara.gov/docs/7488-Short-Form-20241114-6.pdf,Government of the Republic of Vanuatu,The individual will be providing resolutions to client requests and carrying out the documentation process of commercial vessels.,No,None,None,None
https://efile.fara.gov/docs/7488-Short-Form-20241114-4.pdf,Government of the Republic of Vanuatu,The individual will be: (1) controlling the daily operations of the Vanuatu fleet; (2) ensuring compliance with the International Maritime Organization and Safety of Life at Sea regulations and (3) overseeing port state control correspondence.,No,None,None,None
https://efile.fara.gov/docs/6797-Short-Form-20241113-232.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Provide media and public relations support for Abu Dhabi representation.,"Yes
Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of
its provision of media and communication services to Foreign Principal, pursuant to the attached sow.",None,None,None
https://efile.fara.gov/docs/6797-Short-Form-20241113-238.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and Ongoing Support,No,None,None,None
https://efile.fara.gov/docs/6797-Short-Form-20241113-234.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and Ongoing Support,"No
Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of
its provision of media and communication services to Foreign Principal, pursuant to the attached sow.",None,None,None
https://efile.fara.gov/docs/6797-Short-Form-20241113-228.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and ongoing support,"Yes
Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of
its provision of media and communication services to Foreign Principal, pursuant to the attached sow.",None,None,None
https://efile.fara.gov/docs/6797-Short-Form-20241113-230.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and Ongoing Support.,"Yes
Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of
its provision of media and communication services to Foreign Principal, pursuant to the attached sow.",None,None,None
https://efile.fara.gov/docs/6797-Short-Form-20241113-236.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and Ongoing Support,"Yes
Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of
its provision of media and communication services to Foreign Principal, pursuant to the attached sow.",None,None,None
https://efile.fara.gov/docs/6797-Short-Form-20241113-226.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Provide media and public relations support for representation of Abu Dhabi's department of culture and tourism.,"No
Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of
its provision of media and communication services to Foreign Principal, pursuant to the attached sow.",None,None,None
https://efile.fara.gov/docs/5783-Short-Form-20241109-38.pdf,Kurdistan Regional Government,"Communicate and liaise with Congresspersons, staff and committees concerning issues of interest to the KRG","Communicate and liaise with Congresspersons, staff and committees concerning issues of interest to the KRG",None,None,None
https://efile.fara.gov/docs/7435-Short-Form-20241107-42.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the
Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7070-Short-Form-20241107-66.pdf,Embassy of the Republic of Sudan,Registrant will provide government relations services for the Embassy of the Republic of Sudan.,"Registrant will provide support for the Embassy of the Republic of Sudan regarding its communications with U.S. government officials and decision makers, non-government organizations, and other individuals within the U.S.",None,None,None
https://efile.fara.gov/docs/7435-Short-Form-20241107-62.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7435-Short-Form-20241107-66.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
See attached the services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,See attached the services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7435-Short-Form-20241107-64.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,See attached Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.,None,None,None
https://efile.fara.gov/docs/7435-Short-Form-20241107-36.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communications services.,See attached Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.,None,See attached Services Agreement. Registrant will provide public relations and communications services.,See attached Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7435-Short-Form-20241107-68.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
See attached Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,See attached Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7435-Short-Form-20241107-60.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the
Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7435-Short-Form-20241107-48.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/5870-Short-Form-20241107-446.pdf,KazMunayGas International,"Outreach to U.S. policymakers and business leaders on Kazakhstan's position with respect to Kazakhstan's independence, strategic energy and critical mineral production, and investment opportunities in the country.",See Appendix for Response,None,None,"Outreach to U.S. policymakers and business leaders on Kazakhstan's position with respect to Kazakhstan's independence, strategic energy and critical mineral production, and investment opportunities in the country."
https://efile.fara.gov/docs/7435-Short-Form-20241107-46.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the
Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7435-Short-Form-20241107-44.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the
Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7435-Short-Form-20241107-38.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
See attached Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,See attached Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
https://efile.fara.gov/docs/7435-Short-Form-20241107-50.pdf,The Public Investment Fund,See attached Services Agreement. Registrant will provide public relations and communication services.,"No
Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the
Services Agreement.",None,See attached Services Agreement. Registrant will provide public relations and communication services.,Services Agreement. Registrant's services will not include advocacy before the U.S. Government but may include communications with the U.S. media and U.S. Investors on behalf of PIF as part of the services outlined in the Services Agreement.
