URL,10.,11.,12.
https://efile.fara.gov/docs/7488-Short-Form-20241114-2.pdf,Government of the Republic of Vanuatu,The individual will be providing management and oversight of the general operations.,No
https://efile.fara.gov/docs/7488-Short-Form-20241114-6.pdf,Government of the Republic of Vanuatu,The individual will be providing resolutions to client requests and carrying out the documentation process of commercial vessels.,No
https://efile.fara.gov/docs/7488-Short-Form-20241114-4.pdf,Government of the Republic of Vanuatu,The individual will be: (1) controlling the daily operations of the Vanuatu fleet; (2) ensuring compliance with the International Maritime Organization and Safety of Life at Sea regulations and (3) overseeing port state control correspondence.,No
https://efile.fara.gov/docs/6797-Short-Form-20241113-232.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Provide media and public relations support for Abu Dhabi representation.,"Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of its provision of media and communication services to Foreign Principal, pursuant to the attached sow."
https://efile.fara.gov/docs/6797-Short-Form-20241113-238.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and Ongoing Support,No
https://efile.fara.gov/docs/6797-Short-Form-20241113-234.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and Ongoing Support,"Registrant will provide media and communications services to Memac Ogilvy & Mather LLC, Abu Dhabi in support of its provision of media and communication services to Foreign Principal, pursuant to the attached sow."
https://efile.fara.gov/docs/6797-Short-Form-20241113-228.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and ongoing support,"Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of its provision of media and communication services to Foreign Principal, pursuant to the attached sow."
https://efile.fara.gov/docs/6797-Short-Form-20241113-230.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and Ongoing Support.,"Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of its provision of media and communication services to Foreign Principal, pursuant to the attached sow."
https://efile.fara.gov/docs/6797-Short-Form-20241113-236.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Media Outreach and Ongoing Support,"Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of its provision of media and communication services to Foreign Principal, pursuant to the attached sow."
https://efile.fara.gov/docs/6797-Short-Form-20241113-226.pdf,"United Arab Emirates, Department of Culture and Tourism Abu Dhabi",Provide media and public relations support for representation of Abu Dhabi's department of culture and tourism.,"Registrant will provide media and communications services to Memac Ogilvy & Mather LLC Abu Dhabi in support of its provision of media and communication services to Foreign Principal, pursuant to the attached sow."
