Date Stamped,Registrant Name,Registration Number,Document Type,Short Form Name,Foreign Principal Name,Foreign Principal Country,URL
11/14/2024,Vanuatu Logistics & Administrative Services Limited,7488,Short-Form,"Makhlouf, Saade",,,https://efile.fara.gov/docs/7488-Short-Form-20241114-2.pdf
11/14/2024,Vanuatu Logistics & Administrative Services Limited,7488,Short-Form,"Rescigno, Dorothy A.",,,https://efile.fara.gov/docs/7488-Short-Form-20241114-6.pdf
11/14/2024,Vanuatu Logistics & Administrative Services Limited,7488,Short-Form,"Berke Ayazli, Ali",,,https://efile.fara.gov/docs/7488-Short-Form-20241114-4.pdf
11/13/2024,Ogilvy Group LLC,6797,Short-Form,"Warren, Andrew",,,https://efile.fara.gov/docs/6797-Short-Form-20241113-232.pdf
11/13/2024,Ogilvy Group LLC,6797,Short-Form,"Cohen, Ein",,,https://efile.fara.gov/docs/6797-Short-Form-20241113-238.pdf
11/13/2024,Ogilvy Group LLC,6797,Short-Form,"Buchanan, Erin",,,https://efile.fara.gov/docs/6797-Short-Form-20241113-234.pdf
11/13/2024,Ogilvy Group LLC,6797,Short-Form,"Ring, Bridget",,,https://efile.fara.gov/docs/6797-Short-Form-20241113-228.pdf
11/13/2024,Ogilvy Group LLC,6797,Short-Form,"Romero, Andrea",,,https://efile.fara.gov/docs/6797-Short-Form-20241113-230.pdf
11/13/2024,Ogilvy Group LLC,6797,Short-Form,"Kaeli, Annabelle",,,https://efile.fara.gov/docs/6797-Short-Form-20241113-236.pdf
11/13/2024,Ogilvy Group LLC,6797,Short-Form,"Romero, Andrea",,,https://efile.fara.gov/docs/6797-Short-Form-20241113-226.pdf
11/9/2024,Kurdistan Regional Government - Liaison Office - USA,5783,Short-Form,"Queen, Lindsey M.",,,https://efile.fara.gov/docs/5783-Short-Form-20241109-38.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"O'Connor, Aldan Marc",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-42.pdf
11/7/2024,Ballard Partners,7070,Short-Form,"O'Hanlon, John",,,https://efile.fara.gov/docs/7070-Short-Form-20241107-66.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Sherman, Russell Andrew",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-62.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Prosek, Jennifer Amelia",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-66.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Estupinan, Diana",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-64.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Duarte, Kristen Leigh",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-36.pdf
